supplychain,partnership,technology adaption,crop insurance,digital information platform,reach
9,40,3,61,1,52.77777769393814
37,18,2,41,2,46.29629628480412
20,39,1,57,1,54.62962954903093
97,21,1,63,2,85.1851852321031
27,12,1,29,1,32.407407403958764
53,1,3,46,2,48.61111116608247
21,29,2,56,2,50.92592586581443
1,24,3,40,1,31.9444443916701
5,20,2,60,2,41.203703644020614
99,8,2,24,2,62.50000009321649
85,40,1,23,2,69.90740740057733
32,9,2,21,3,31.018518513752575
79,39,3,26,3,69.44444443416495
86,27,1,46,2,75.00000002152578
56,33,3,66,3,74.53703700552578
56,21,1,59,1,63.88888889604124
54,24,1,47,1,58.796296295731956
29,35,1,49,2,53.70370363379381
61,28,1,39,2,60.64814813682474
13,30,1,54,1,45.833333265649486
100,39,3,21,3,76.85185186890722
3,10,3,52,1,31.944444425402057
20,35,1,43,2,46.75925917892783
21,21,3,54,1,46.2962962736701
65,18,2,59,2,67.59259261362887
85,4,3,51,3,67.59259266870103
86,16,2,22,3,59.72222226898969
49,22,1,24,2,45.370370360453606
66,4,3,31,1,48.611111189216494
36,22,3,37,3,46.759259233092784
21,35,2,57,3,54.62962954375257
19,5,3,57,2,39.814814815608244
89,17,2,55,2,76.38888894325773
39,7,3,38,3,41.66666667960825
29,4,1,51,3,40.74074073241237
91,31,1,60,2,85.64814816430928
100,3,3,54,1,74.53703715682474
60,0,1,38,1,46.296296361505156
51,22,3,28,1,48.61111112816495
17,26,3,31,3,37.037036978350514
36,27,2,64,1,60.18518515890721
49,2,3,34,1,41.20370376457732
59,40,1,45,3,68.51851846391752
55,34,3,47,1,64.81481480552577
25,24,2,61,1,52.314814782206184
61,20,3,30,2,53.703703726391744
12,23,2,53,1,42.129629584226805
92,11,1,70,3,81.94444449616495
83,18,2,22,3,59.25925929750515
45,16,2,62,3,59.25925924785567
21,6,1,30,3,28.24074072090722
33,37,2,38,1,51.388888839298964
56,13,3,27,2,46.75925929265979
43,25,3,70,3,66.66666663701031
3,1,1,50,2,26.388888866371133
7,8,1,67,2,39.35185181513402
80,23,2,42,3,69.4444444638969
7,1,3,21,1,15.277777789999998
6,35,1,32,3,35.648148040453606
96,4,3,45,2,69.44444454682476
73,29,2,39,1,66.66666668639175
15,17,3,35,3,33.79629625573196
44,11,1,56,3,53.24074073402062
20,30,1,68,1,55.55555549449485
8,28,3,24,3,30.55555548187629
33,10,1,41,3,40.74074072486598
88,16,3,20,3,60.185185241628865
94,40,2,61,2,92.12962963496908
5,38,1,36,3,38.425925809237114
95,22,2,34,2,71.75925931272165
29,8,3,51,1,42.59259261129897
42,23,2,68,2,63.425925904639165
31,22,3,41,3,46.29629626317526
89,22,2,47,1,74.53703709226804
7,34,2,30,1,34.25925918517526
33,17,3,39,3,43.98148146303093
45,40,1,42,3,60.64814807632989
63,37,1,65,2,77.777777743567
55,10,1,70,3,64.35185185917526
15,20,3,60,2,46.29629625608247
39,13,3,41,2,45.37037038006185
84,32,3,27,1,68.05555559082474
55,37,3,26,2,56.94444441997937
5,15,3,63,1,40.27777774769072
77,5,3,57,1,66.20370378921649
37,11,3,58,3,51.851851849628865
83,31,1,26,1,65.74074076360824
54,25,3,40,2,57.407407407835045
39,6,1,34,1,37.5000000251134
71,8,1,64,3,68.0555555887835
26,8,2,28,3,31.018518507422684
73,8,1,65,3,69.44444448004124
44,23,3,41,1,51.851851855628865
61,14,3,39,1,54.629629676494844
14,30,2,35,2,38.42592585793815
13,37,3,54,1,49.99999992942268
73,1,1,60,3,63.88888894183505
25,26,2,47,3,47.68518512723711
66,15,3,65,3,70.37037039422681
39,37,3,61,1,65.27777773894844
33,3,3,70,3,51.85185186158763
19,19,2,48,3,42.12962958049485
6,40,3,49,2,46.29629619915463
62,17,3,64,1,68.05555559261855
21,25,3,28,1,36.11111108315464
30,22,2,56,1,51.38888886812371
94,34,2,45,1,81.48148151496906
46,0,1,70,1,54.62962967206186
6,10,1,33,1,23.611111085216493
80,25,3,54,3,76.38888890853607
6,31,2,34,1,34.25925919037113
79,10,3,57,2,69.90740747220619
91,9,1,44,3,68.51851857783505
95,9,3,50,2,73.61111119960825
10,17,1,50,2,37.037036985525766
58,7,1,22,3,42.129629655463916
85,32,1,30,2,69.44444445542268
79,37,2,59,3,83.33333331571133
29,31,2,55,3,55.55555548956701
29,32,2,65,2,60.18518512665979
77,36,1,31,2,68.05555554680413
71,38,1,21,1,61.11111110305154
24,27,2,63,2,54.62962957692783
7,3,2,49,1,28.703703699917522
22,5,1,32,1,28.240740747051543
88,6,2,44,1,65.27777787006185
53,39,3,42,1,63.888888866041235
44,35,2,61,2,66.66666662063918
30,19,3,52,1,48.611111104907216
64,34,3,63,1,76.38888888843297
71,30,2,28,1,61.11111112769072
27,8,2,42,1,37.03703704781443
65,9,3,42,2,56.018518570371135
5,7,3,44,3,28.70370367272165
69,21,1,39,1,60.64814817490722
97,40,3,26,2,77.77777779929899
37,38,1,35,1,51.85185179859794
97,30,1,70,2,92.59259261711341
45,31,2,54,2,62.03703700284536
93,4,3,66,1,77.31481492148453
10,23,1,44,2,37.037036972288654
69,32,2,39,3,67.12962961437113
72,13,1,54,3,66.20370372795875
93,27,1,70,2,89.35185187841238
50,37,1,64,3,71.75925919736082
37,20,2,22,1,37.96296296117526
48,15,1,34,2,46.296296300082474
52,2,2,65,3,57.40740743748454
73,5,1,48,2,59.72222227903092
58,26,2,60,1,68.05555556008247
86,3,1,61,1,70.37037045769071
40,17,1,33,1,42.5925925931134
78,4,3,44,1,60.185185276391756
61,11,1,27,1,46.75925930146392
78,34,3,53,1,78.240740759567
96,8,3,43,2,70.37037046360825
86,22,2,20,2,61.11111115542268
49,36,1,25,3,52.777777723175255
92,29,1,26,2,69.444444472
19,13,3,48,3,39.814814786701035
86,3,1,55,3,68.51851858395877
46,19,2,69,1,63.42592593041237
13,32,2,31,3,37.49999991523711
43,5,3,39,2,42.59259262657732
23,16,3,69,3,52.777777744288656
64,29,2,50,3,68.51851850228866
80,19,3,35,2,64.3518519001237
32,22,3,30,2,41.203703685010304
55,16,2,28,2,47.685185203237104
66,27,3,50,3,68.9814814793402
38,40,2,51,2,61.574074010226795
6,1,2,21,2,14.814814807525773
80,28,3,23,2,62.96296299185567
55,22,1,53,1,61.111111115587626
98,23,3,55,1,83.33333340313402
10,2,3,38,2,25.462962962494842
33,13,2,49,1,45.37037037579382
58,28,3,49,2,64.81481481177319
40,1,1,33,1,35.18518522354639
94,32,2,25,3,72.22222224078351
59,4,2,39,2,49.074074123814434
52,31,3,35,1,56.48148147740206
69,4,2,47,2,57.40740746851546
48,17,1,39,3,49.99999998684537
45,17,3,40,3,49.9999999965567
46,1,1,27,1,35.185185232082475
51,30,2,44,3,60.1851851511134
36,7,3,31,2,36.57407409575257
77,2,2,32,1,52.77777786752577
100,35,3,27,3,77.7777778033402
20,7,3,45,2,35.64814814738144
3,5,1,62,1,33.33333331086598
41,6,2,48,2,45.83333335416494
86,10,2,26,2,58.33333340507216
38,23,3,66,2,61.111111091917515
31,35,1,24,1,42.592592540597934
89,14,3,30,3,64.35185191270102
74,34,1,64,3,81.4814814570103
2,14,1,47,3,31.01851845305155
81,37,3,46,1,77.77777779441236
40,15,2,66,2,57.87037036579381
10,38,1,34,3,39.81481470476288
12,7,2,43,3,31.01851848971134
40,25,1,33,1,46.29629627789691
88,33,3,21,3,68.51851853459793
78,14,3,62,3,74.07407411593815
97,14,3,41,2,72.68518526581444
84,4,3,31,2,57.40740749684536
41,19,3,60,1,57.40740741383505
93,29,2,24,3,69.90740743195876
59,23,3,46,3,62.037037036144326
75,29,2,64,3,80.09259258804123
44,28,2,26,3,47.68518514985567
97,23,3,38,3,75.9259259743299
51,37,3,46,1,63.88888886760825
56,36,2,38,3,62.49999995901031
39,11,2,25,3,37.037037035752576
100,11,3,54,3,79.16666674470103
89,7,3,63,2,75.92592600950515
90,4,2,50,2,68.51851860569073
68,32,1,67,2,78.70370368731959
81,31,1,25,1,64.35185187235051
96,33,1,69,2,93.0555555718763
15,12,1,61,2,42.12962959451546
97,3,1,25,3,59.7222223063299
